index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
6,9,True,2,10,2,2|2|2|2|2|7|2|2|2|2
9,3,False,3,3,3,3|1|3|3|1|3|3|1|3|3
16,9,False,9,2,9,9|9|9|9|9|9|9|5|9|5
26,3,False,3,2,3,3|1|3|3|3|3|3|1|3|3
50,9,False,9,4,9,9|9|1|2|9|9|5|9|5|9
55,2,False,2,1,2,2|2|2|2|2|2|2|2|1|2
77,0,False,0,9,6,5|0|1|6|6|6|6|6|5|5
81,5,False,5,5,5,3|5|5|1|5|3|5|5|7|1
87,7,False,7,3,7,7|7|7|7|7|7|7|3|3|1
95,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
104,6,False,6,2,6,1|6|6|6|1|6|6|6|6|6
108,4,True,2,10,2,2|2|2|2|2|2|2|9|9|2
115,0,False,0,2,0,0|0|0|0|6|9|0|0|0|0
136,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
138,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
151,6,False,6,9,3,3|6|3|3|3|3|3|5|3|1
158,4,False,4,5,4,1|1|7|4|4|1|4|4|1|4
177,1,True,5,8,-1,5|2|1|2|5|5|2|5|1|2
184,1,False,1,5,-1,1|1|1|5|5|1|5|5|5|1
188,5,True,9,8,9,9|9|9|9|9|9|9|5|9|5
197,3,False,3,1,3,3|1|3|3|3|3|3|3|3|3
214,5,True,9,10,9,9|9|9|9|9|9|9|9|9|1
215,8,True,5,10,5,5|9|1|5|5|3|5|5|5|3
228,8,True,6,9,6,6|6|6|6|6|6|6|8|6|6
231,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
232,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
235,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
238,5,True,1,10,1,1|1|1|1|1|1|1|1|1|1
248,7,True,6,10,6,4|1|6|0|2|6|3|6|4|1
296,1,True,4,10,7,7|7|7|7|4|7|7|4|7|7
308,0,False,0,2,0,0|0|0|0|0|6|0|0|0|6
325,2,True,1,10,1,1|1|1|1|1|1|1|1|1|1
330,1,False,1,3,1,1|1|1|1|1|1|1|5|5|5
339,5,False,5,1,5,5|5|5|5|5|5|5|5|5|1
352,0,False,0,6,0,0|9|0|0|0|9|6|8|6|1
354,1,False,1,2,1,5|1|1|1|1|1|1|5|1|1
365,1,True,8,6,8,1|8|8|8|1|8|1|8|8|1
367,3,False,3,6,3,4|1|9|3|4|1|9|3|3|3
372,1,True,4,6,4,1|1|4|4|4|7|4|1|4|1
390,0,True,4,2,0,0|0|0|0|0|9|0|4|0|0
439,0,False,0,1,0,0|0|0|0|0|6|0|0|0|0
446,3,False,3,2,3,1|1|3|3|3|3|3|3|3|3
450,1,True,5,8,5,3|1|1|3|5|3|5|5|5|5
454,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
464,6,False,6,2,6,1|6|6|6|6|6|6|6|6|8
466,2,True,1,9,-1,5|9|9|8|1|9|1|5|5|2
501,8,False,8,7,1,1|1|8|1|1|1|1|8|8|1
513,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
532,6,False,6,6,6,1|1|6|6|1|6|3|6|3|3
537,2,True,7,10,7,7|7|7|7|4|7|7|7|7|7
544,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
547,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
554,8,False,8,7,1,1|1|1|1|1|1|1|8|8|8
565,1,False,1,3,1,1|1|1|1|5|1|1|5|1|3
566,8,False,8,8,1,1|1|1|8|1|8|1|1|1|1
574,8,False,8,2,8,1|8|8|8|8|8|1|8|8|8
588,6,False,6,1,6,6|6|6|6|6|6|6|6|6|8
601,8,False,8,7,-1,1|8|1|3|3|1|5|8|8|5
603,1,True,3,6,-1,5|1|3|3|1|3|1|1|3|5
613,9,False,9,2,9,9|9|1|9|9|9|9|9|9|5
621,4,False,4,10,2,2|2|2|2|2|2|2|2|2|2
622,4,False,4,3,4,4|1|4|4|1|4|4|4|1|4
635,9,False,9,6,-1,1|9|5|5|9|1|9|9|5|5
647,7,False,7,1,7,7|7|7|1|7|7|7|7|7|7
652,4,True,7,10,7,7|7|7|7|2|7|7|7|7|7
686,5,False,5,8,1,5|4|5|1|4|6|1|6|1|1
703,9,False,9,6,9,2|9|3|9|5|9|3|9|5|2
704,8,False,8,3,8,1|1|8|8|1|8|8|8|8|8
708,0,False,0,6,0,5|0|7|5|9|7|0|0|7|0
723,1,True,8,9,9,9|9|8|8|9|9|1|8|8|9
727,9,True,7,10,-1,7|7|5|5|1|1|5|1|5|1
754,7,False,7,3,7,7|7|5|7|7|7|7|9|7|3
764,1,True,4,7,4,4|1|4|4|4|1|1|4|4|4
769,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
776,3,False,3,3,3,1|1|3|3|3|3|3|5|3|3
811,8,False,8,9,1,1|1|1|1|1|1|1|8|1|1
825,4,True,7,10,7,7|7|7|7|7|7|1|7|7|7
832,9,True,2,10,3,1|1|3|3|0|3|3|2|3|3
838,7,True,6,10,6,6|6|6|6|6|6|6|8|6|8
839,5,False,5,2,5,1|1|5|5|5|5|5|5|5|5
862,8,True,6,10,0,0|0|0|0|1|6|0|0|0|0
878,3,False,3,10,-1,6|1|1|1|6|6|6|6|1|1
880,8,False,8,3,8,1|8|1|8|1|8|8|8|8|8
895,1,True,3,8,3,3|1|3|3|1|3|3|3|3|3
897,8,False,8,4,8,1|8|8|1|1|8|8|8|8|2
924,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
932,5,False,5,4,5,3|1|3|5|5|3|5|5|5|5
940,0,False,0,6,-1,0|0|0|6|6|1|6|0|6|1
947,1,False,1,2,1,1|1|1|1|5|1|1|5|1|1
973,3,True,7,10,7,7|7|7|7|7|7|7|7|1|7
978,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
983,0,False,0,2,0,6|0|0|0|0|2|0|0|0|0
998,3,False,3,4,3,1|1|3|3|1|3|3|3|3|1
1002,5,True,3,6,5,1|5|1|1|5|5|5|3|3|2
1005,1,True,4,9,4,4|7|4|1|4|4|4|4|6|4
1007,4,False,4,1,4,4|2|4|4|4|4|4|4|4|4
1024,4,True,2,10,2,2|2|2|2|2|2|2|2|2|2
1025,3,False,3,8,1,3|1|1|1|3|1|1|1|1|1
1027,7,True,6,10,6,6|6|6|6|6|6|6|6|6|6
1041,1,True,3,9,3,3|1|3|3|3|3|3|3|3|3
1042,3,True,7,10,7,7|7|7|7|4|7|7|7|7|7
1047,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
1050,9,True,2,10,2,2|2|7|2|2|2|2|2|2|2
1053,6,False,6,8,-1,1|2|5|5|2|1|5|6|6|2
1059,3,False,3,9,9,9|9|9|9|9|9|5|3|1|9
1060,8,False,8,3,8,1|8|8|8|1|8|1|8|8|8
1071,7,False,7,4,7,1|7|7|1|7|5|7|1|7|7
1080,8,False,8,4,8,1|1|1|8|1|8|8|8|8|8
1087,8,False,8,3,8,1|8|8|8|1|8|8|8|1|8
1088,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1091,1,True,5,6,5,5|5|1|5|1|5|5|1|1|5
1124,3,False,3,4,3,1|7|1|3|1|3|3|3|3|3
1125,9,True,7,7,7,7|7|7|9|7|7|9|7|9|7
1127,3,False,3,9,5,1|5|1|5|5|3|5|5|5|1
1132,7,True,6,10,6,6|6|6|6|6|6|6|6|6|6
1142,0,False,0,2,0,0|0|0|0|0|2|0|0|6|0
1154,6,False,6,1,6,1|6|6|6|6|6|6|6|6|6
1157,5,False,5,5,5,1|1|3|5|5|5|1|5|1|5
1159,6,False,6,1,6,6|6|6|6|1|6|6|6|6|6
1162,1,True,8,4,1,1|1|8|8|1|1|1|1|8|8
1174,1,True,8,4,1,1|1|1|1|1|2|2|2|1|2
1184,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1189,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1199,5,False,5,1,5,5|5|5|5|5|5|1|5|5|5
1212,1,True,4,6,4,1|1|4|4|1|4|4|4|1|4
1235,9,False,9,2,9,9|9|9|9|9|9|5|9|5|9
1253,9,False,9,1,9,9|9|9|9|9|9|9|5|9|9
1270,0,False,0,3,0,0|0|0|0|0|6|0|6|6|0
1277,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1286,3,False,3,6,1,3|1|3|1|1|3|1|1|3|1
1288,9,True,2,10,2,2|2|4|2|2|1|4|2|1|1
1294,4,False,4,7,1,1|1|4|1|1|1|4|4|1|1
1298,2,True,5,10,5,3|5|3|3|5|5|3|5|5|5
1305,1,False,1,9,9,9|9|1|9|9|9|5|9|5|9
1306,0,False,0,7,-1,1|0|0|8|1|6|0|9|6|6
1315,4,False,4,5,-1,1|1|4|1|1|4|4|4|1|4
1333,4,False,4,6,4,2|1|1|1|4|2|4|4|4|2
1334,2,False,2,6,-1,2|2|1|2|1|1|1|6|2|4
1336,8,False,8,4,8,1|8|1|8|1|8|8|1|8|8
1349,4,False,4,8,7,4|4|7|7|7|7|7|7|7|7
1353,9,False,9,4,9,1|9|9|5|5|9|9|9|5|9
1364,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1369,2,True,7,10,7,7|7|7|7|7|7|7|7|7|7
1380,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1397,1,True,8,9,8,1|8|8|8|8|8|8|8|8|8
1398,8,False,8,4,8,1|8|8|8|1|8|1|8|8|1
1412,7,False,7,1,7,7|7|7|7|7|7|6|7|7|7
1415,9,True,2,9,2,2|2|2|2|2|2|2|9|2|2
1427,3,False,3,8,1,1|1|1|3|1|3|1|1|1|6
1448,1,False,1,4,1,5|1|1|1|1|1|5|5|1|5
1455,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1456,5,True,9,10,9,9|9|9|9|9|9|1|9|9|9
1473,0,False,0,5,0,0|0|2|6|0|2|0|4|6|0
1481,6,True,0,8,0,0|9|0|0|6|7|7|0|6|0
1484,6,False,6,4,6,6|6|6|6|9|6|6|8|8|8
1501,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1502,1,False,1,2,1,1|1|1|1|5|1|1|2|1|1
1503,1,True,5,9,5,5|1|5|5|5|5|5|5|5|5
1513,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1531,8,True,6,9,6,6|6|6|6|6|6|6|6|8|6
1538,1,True,5,10,7,7|7|7|7|7|7|7|7|7|7
1541,2,True,1,10,1,1|9|1|1|1|1|1|1|1|1
1599,1,False,1,3,1,1|1|1|5|1|1|1|2|5|1
1626,6,True,0,10,0,0|0|0|0|0|2|0|0|0|0
