index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
0,6,False,6,2,6,6|6|6|6|6|6|1|6|1|6
7,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
12,7,False,7,1,7,7|7|3|7|7|7|7|7|7|7
40,5,False,5,1,5,1|5|5|5|5|5|5|5|5|5
48,2,False,2,3,2,1|2|2|1|2|2|4|2|2|2
63,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
89,4,False,4,2,4,4|4|4|4|1|4|4|4|4|1
90,2,False,2,10,4,4|4|4|4|5|4|4|4|1|4
111,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
112,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
135,8,False,8,2,8,1|8|8|8|8|8|8|8|1|8
141,3,False,3,10,6,6|6|6|6|6|6|7|6|1|6
144,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
164,8,True,6,10,6,6|6|6|6|6|6|6|6|6|6
165,0,False,0,1,0,0|0|0|6|0|0|0|0|0|0
169,1,True,3,10,3,3|3|3|3|3|3|3|3|3|3
216,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
219,9,False,9,1,9,5|9|9|9|9|9|9|9|9|9
236,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
238,5,True,1,10,1,1|1|1|1|1|1|1|1|1|1
297,5,False,5,2,5,1|5|5|5|5|5|5|5|1|5
304,5,True,1,10,1,1|1|1|1|1|1|1|1|1|1
325,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
333,3,False,3,2,3,1|3|3|1|3|3|3|3|3|3
337,5,False,5,5,5,1|4|5|5|4|5|5|4|1|5
348,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
357,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
384,3,False,3,3,3,3|3|5|3|3|1|3|3|3|5
388,9,True,7,10,7,7|7|7|7|7|7|7|7|7|7
393,1,False,1,2,1,1|1|1|6|1|1|8|1|1|1
413,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
420,4,False,4,3,4,4|4|4|4|1|4|1|4|4|1
431,5,False,5,1,5,1|5|5|5|5|5|5|5|5|5
469,7,False,7,8,5,1|5|5|5|7|5|5|7|5|5
473,6,False,6,5,6,6|6|1|2|2|6|4|6|6|4
478,7,False,7,10,5,3|5|4|5|5|5|3|5|5|5
497,6,True,0,10,0,0|0|0|0|0|1|0|0|4|0
511,5,True,9,10,9,9|9|9|9|9|9|9|9|9|9
523,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
527,6,True,0,9,1,1|1|3|6|0|8|1|8|8|1
