index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
11,96,False,96,4,96,96|96|52|52|96|96|96|52|96|96|96|96|52|96|96
26,12,True,64,15,50,50|36|50|15|77|50|50|45|77|80|2|15|80|77|50
43,97,False,97,1,97,97|97|97|97|97|21|97|97|97|97|97|97|97|97|97
71,50,False,50,3,50,50|50|50|50|50|50|77|77|50|77|50|50|50|50|50
79,42,False,42,3,42,43|43|42|42|42|42|42|42|42|42|43|42|42|42|42
101,39,False,39,1,39,39|39|39|39|39|39|39|39|39|39|39|39|39|39|31
141,10,True,62,15,62,62|62|62|83|83|62|62|83|83|62|83|62|62|92|62
143,63,False,63,8,63,63|63|64|63|63|63|64|63|64|50|64|64|64|63|50
174,62,False,62,10,54,14|54|66|54|62|54|54|62|54|62|54|54|62|54|62
177,1,True,44,15,44,44|44|44|44|44|99|44|44|44|44|44|44|44|44|44
184,79,False,79,2,79,79|79|79|79|79|79|79|69|69|79|79|79|79|79|79
229,24,True,89,15,81,89|81|13|89|92|81|89|89|81|41|81|81|81|81|81
245,96,False,96,0,96,96|96|96|96|96|96|96|96|96|96|96|96|96|96|96
298,8,False,8,3,8,48|8|8|8|8|8|48|8|8|8|8|8|8|48|8
308,2,False,2,3,2,2|2|2|2|2|2|2|2|2|98|2|2|18|2|98
312,46,True,97,15,97,97|64|97|65|97|97|97|97|97|97|97|97|97|97|97
343,54,True,29,15,47,47|47|47|47|47|47|47|47|47|47|96|39|47|96|47
351,19,False,19,2,19,19|19|19|19|31|31|19|19|19|19|19|19|19|19|19
358,6,True,76,15,49,49|76|49|49|49|49|49|49|49|49|49|49|49|49|49
381,85,False,85,1,85,85|85|85|85|85|48|85|85|85|85|85|85|85|85|85
385,10,False,10,1,10,10|10|10|10|10|10|10|10|0|10|10|10|10|10|10
397,56,False,56,0,56,56|56|56|56|56|56|56|56|56|56|56|56|56|56|56
446,11,True,78,15,78,70|78|78|78|78|78|78|78|78|78|78|45|78|78|78
464,5,False,5,13,12,12|85|85|12|12|12|85|5|85|5|12|17|12|25|12
466,82,False,82,15,22,22|22|87|0|22|22|2|22|22|70|22|83|70|22|22
469,28,False,28,6,28,28|16|16|28|28|28|16|16|16|28|28|28|28|16|28
477,85,False,85,2,85,85|85|85|85|33|85|85|85|85|85|85|85|85|33|85
488,4,False,4,12,38,74|38|38|38|4|38|69|69|38|38|38|4|29|74|4
492,90,True,14,15,14,14|14|14|14|14|14|14|14|14|14|14|14|14|62|14
516,95,True,71,15,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
531,88,False,88,0,88,88|88|88|88|88|88|88|88|88|88|88|88|88|88|88
546,83,True,32,15,67,67|67|67|67|67|73|67|67|67|67|32|67|67|67|32
556,45,False,45,10,26,77|45|80|26|45|26|26|45|26|45|26|45|26|39|26
567,59,False,59,9,52,52|47|52|52|59|59|59|52|59|59|52|52|59|52|52
570,89,False,89,0,89,89|89|89|89|89|89|89|89|89|89|89|89|89|89|89
589,75,True,26,15,10,10|10|10|10|10|10|10|10|10|10|10|10|10|10|10
614,46,False,46,15,55,77|32|55|32|32|55|55|55|32|55|55|55|55|77|55
615,65,False,65,15,-1,4|50|50|50|50|50|4|4|50|4|4|4|50|74|4
649,54,False,54,0,54,54|54|54|54|54|54|54|54|54|54|54|54|54|54|54
654,81,False,81,0,81,81|81|81|81|81|81|81|81|81|81|81|81|81|81|81
665,9,True,74,15,74,74|74|74|74|74|74|74|74|74|74|74|74|74|74|74
667,94,False,94,0,94,94|94|94|94|94|94|94|94|94|94|94|94|94|94|94
678,27,False,27,0,27,27|27|27|27|27|27|27|27|27|27|27|27|27|27|27
702,62,True,30,4,62,62|62|30|30|62|30|62|30|62|62|62|62|62|62|62
716,50,False,50,15,29,29|26|69|29|6|6|93|93|29|29|29|70|29|93|93
720,89,False,89,10,-1,37|37|17|37|17|89|89|17|89|89|17|37|89|17|37
721,5,False,5,1,5,5|5|5|5|5|5|5|5|5|5|5|5|26|5|5
723,13,False,13,15,89,89|89|89|89|89|89|89|89|89|89|89|89|89|89|89
734,32,False,32,1,32,32|32|32|32|32|32|32|32|32|32|32|32|32|32|27
735,39,False,39,15,57,57|57|57|54|70|83|57|53|83|57|54|0|57|53|57
740,98,False,98,10,35,35|35|98|98|35|35|98|2|35|98|2|2|35|98|46
762,19,False,19,2,19,19|19|19|19|19|19|19|19|19|31|19|19|31|19|19
783,81,False,81,1,81,81|81|81|81|81|81|81|90|81|81|81|81|81|81|81
810,48,True,37,15,37,37|37|37|37|37|37|37|76|90|37|49|37|90|90|37
830,96,False,96,3,96,96|96|47|96|96|47|96|96|96|96|96|96|96|47|96
841,36,False,36,15,35,43|43|46|46|35|98|46|98|98|35|35|35|35|98|11
852,15,False,15,13,31,31|31|31|31|24|31|31|31|31|31|15|31|31|15|31
864,54,False,54,0,54,54|54|54|54|54|54|54|54|54|54|54|54|54|54|54
927,15,False,15,7,15,15|15|15|31|15|38|15|37|15|49|31|15|15|29|29
958,65,False,65,14,46,46|65|46|46|40|46|46|9|98|98|46|98|80|4|11
975,92,True,81,15,81,81|85|12|12|81|76|13|40|81|12|12|13|69|81|81
992,77,False,77,0,77,77|77|77|77|77|77|77|77|77|77|77|77|77|77|77
1002,51,False,51,1,51,51|51|51|51|77|51|51|51|51|51|51|51|51|51|51
1029,85,True,82,15,82,82|82|82|82|82|82|82|82|82|82|82|82|82|82|82
1039,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9|9|9|9|9|9
1045,75,False,75,0,75,75|75|75|75|75|75|75|75|75|75|75|75|75|75|75
1058,64,False,64,14,65,27|1|80|0|34|77|64|65|65|1|65|27|63|10|0
1062,39,False,39,0,39,39|39|39|39|39|39|39|39|39|39|39|39|39|39|39
1081,80,False,80,15,29,29|29|29|15|29|84|29|34|29|88|84|29|29|29|88
1082,73,False,73,2,73,73|73|73|30|73|73|73|73|73|30|73|73|73|73|73
1092,5,False,5,5,5,5|84|5|5|5|5|5|5|84|84|5|84|5|5|2
1094,53,False,53,2,53,53|53|0|53|53|53|53|53|53|53|53|53|53|53|0
1122,84,False,84,8,5,5|5|5|5|84|84|5|5|84|84|84|84|84|5|5
1133,24,False,24,0,24,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24
1141,90,False,90,5,90,90|90|13|89|90|13|58|90|90|90|90|90|90|13|90
1142,77,False,77,0,77,77|77|77|77|77|77|77|77|77|77|77|77|77|77|77
1152,41,False,41,0,41,41|41|41|41|41|41|41|41|41|41|41|41|41|41|41
1159,35,True,6,15,54,63|54|3|6|54|54|54|80|65|6|54|54|80|0|80
1163,31,False,31,0,31,31|31|31|31|31|31|31|31|31|31|31|31|31|31|31
1175,65,False,65,15,4,4|63|77|4|74|4|77|96|74|50|4|4|4|4|4
1184,26,False,26,5,26,26|26|26|51|29|26|39|26|26|1|26|26|26|82|26
1186,86,False,86,1,86,86|86|86|86|86|86|86|86|86|86|39|86|86|86|86
1223,80,False,80,7,80,80|4|55|4|80|80|15|80|4|80|80|4|55|80|80
1225,68,False,68,0,68,68|68|68|68|68|68|68|68|68|68|68|68|68|68|68
1255,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8
1262,93,False,93,15,44,44|44|1|83|44|44|83|14|44|44|44|44|44|44|44
1268,80,False,80,14,-1,64|66|77|74|55|55|74|77|80|55|74|65|4|55|74
1271,31,True,15,15,15,15|15|15|15|15|15|15|8|8|15|15|15|15|15|15
1296,82,False,82,0,82,82|82|82|82|82|82|82|82|82|82|82|82|82|82|82
1299,31,False,31,1,31,31|31|31|31|31|38|31|31|31|31|31|31|31|31|31
1319,9,False,9,4,9,9|9|9|87|9|9|87|16|86|9|9|9|9|9|9
1351,1,False,1,11,-1,93|1|85|18|29|28|93|18|1|18|44|1|45|1|18
1405,56,True,69,14,69,69|69|69|69|69|69|56|69|69|69|69|69|69|69|69
1438,38,False,38,1,38,38|38|38|38|38|38|69|38|38|38|38|38|38|38|38
1440,79,False,79,0,79,79|79|79|79|79|79|79|79|79|79|79|79|79|79|79
1457,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8
1483,94,False,94,1,94,94|94|94|94|94|94|94|94|76|94|94|94|94|94|94
1488,93,False,93,7,93,93|51|29|93|93|10|93|14|93|93|49|93|93|27|57
1514,74,False,74,12,-1,44|93|55|55|74|74|24|93|30|93|67|73|91|91|74
1518,11,False,11,0,11,11|11|11|11|11|11|11|11|11|11|11|11|11|11|11
1544,55,False,55,15,21,63|21|21|21|4|3|3|21|3|21|21|21|4|80|21
1569,71,False,71,0,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
1581,24,False,24,0,24,24|24|24|24|24|24|24|24|24|24|24|24|24|24|24
1602,52,False,52,0,52,52|52|52|52|52|52|52|52|52|52|52|52|52|52|52
1611,44,False,44,14,-1,14|62|82|18|48|54|62|44|82|83|92|45|48|83|14
1653,3,False,3,12,72,3|14|72|3|72|3|72|72|72|14|72|14|72|65|95
1663,85,False,85,3,85,13|85|81|85|85|85|85|85|85|85|85|85|85|85|37
1669,94,True,25,15,25,25|25|25|25|25|25|25|25|25|25|25|25|25|58|25
1686,90,False,90,0,90,90|90|90|90|90|90|90|90|90|90|90|90|90|90|90
1689,35,False,35,10,98,35|98|98|98|98|35|98|35|98|35|98|35|98|98|98
1691,65,False,65,13,91,91|91|25|65|65|91|91|91|55|91|91|50|27|91|38
1717,34,False,34,15,19,29|19|31|19|19|29|3|38|3|3|19|19|31|19|3
1753,29,True,16,15,16,16|16|16|16|16|16|16|16|16|16|16|16|16|16|16
1766,88,False,88,0,88,88|88|88|88|88|88|88|88|88|88|88|88|88|88|88
1780,42,False,42,0,42,42|42|42|42|42|42|42|42|42|42|42|42|42|42|42
1783,56,False,56,0,56,56|56|56|56|56|56|56|56|56|56|56|56|56|56|56
1788,23,False,23,0,23,23|23|23|23|23|23|23|23|23|23|23|23|23|23|23
1805,12,False,12,3,12,37|12|12|12|17|12|12|12|12|12|12|12|12|12|37
1806,1,True,61,15,61,61|61|61|61|61|61|61|61|61|61|61|61|61|61|61
1824,68,False,68,2,68,68|10|68|68|68|68|68|10|68|68|68|68|68|68|68
1862,56,False,56,0,56,56|56|56|56|56|56|56|56|56|56|56|56|56|56|56
1882,43,False,43,11,-1,34|43|88|43|43|88|45|80|34|80|43|45|42|34|34
1891,75,True,26,15,93,78|22|77|22|93|26|26|22|93|77|93|67|51|93|7
1908,46,False,46,1,46,46|46|2|46|46|46|46|46|46|46|46|46|46|46|46
1917,65,False,65,7,65,80|65|65|80|65|21|21|65|65|55|65|38|80|65|65
1925,3,False,3,11,4,3|43|63|3|50|4|4|3|4|4|3|4|63|63|94
1928,94,True,64,15,64,63|64|64|50|64|80|64|34|64|64|64|64|64|91|64
1929,4,False,4,12,27,27|4|27|27|30|27|27|92|27|27|4|27|90|31|4
1949,52,False,52,3,52,52|52|47|52|59|52|52|52|52|52|59|52|52|52|52
1953,36,False,36,0,36,36|36|36|36|36|36|36|36|36|36|36|36|36|36|36
2003,18,False,18,0,18,18|18|18|18|18|18|18|18|18|18|18|18|18|18|18
2007,26,False,26,15,45,45|45|45|79|79|45|79|79|45|45|79|79|93|45|45
2044,28,False,28,8,-1,40|28|40|40|28|40|40|40|28|40|28|12|28|28|28
2048,23,False,23,0,23,23|23|23|23|23|23|23|23|23|23|23|23|23|23|23
2053,22,False,22,6,22,22|86|22|22|22|87|22|87|87|87|22|22|22|86|22
2062,67,False,67,15,32,32|32|32|32|32|32|32|32|32|32|32|32|32|32|32
2073,35,False,35,13,-1,35|18|98|98|98|2|2|2|2|35|98|98|2|98|2
2080,28,False,28,1,28,28|40|28|28|28|28|28|28|28|28|28|28|28|28|28
2081,42,True,79,15,79,79|79|79|79|79|79|79|79|79|79|79|79|79|79|79
2098,33,False,33,0,33,33|33|33|33|33|33|33|33|33|33|33|33|33|33|33
2112,57,False,57,0,57,57|57|57|57|57|57|57|57|57|57|57|57|57|57|57
2117,73,False,73,3,73,30|73|73|30|73|73|73|73|73|73|73|73|73|30|73
2152,69,False,69,0,69,69|69|69|69|69|69|69|69|69|69|69|69|69|69|69
2155,67,False,67,1,67,73|67|67|67|67|67|67|67|67|67|67|67|67|67|67
2162,40,False,40,8,40,58|40|40|40|87|58|40|87|87|40|58|40|51|13|40
2182,14,False,14,0,14,14|14|14|14|14|14|14|14|14|14|14|14|14|14|14
2187,31,False,31,3,31,3|3|31|31|31|31|31|31|31|31|3|31|31|31|31
2199,99,True,85,15,85,85|85|85|58|85|89|85|85|85|85|85|89|48|85|85
2224,40,False,40,0,40,40|40|40|40|40|40|40|40|40|40|40|40|40|40|40
