index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
4,33,True,1,10,1,33|33|1|33|1|1|1|33|85|1|1|1|81|12|33
30,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8|8|8|8|8|8
46,11,False,11,15,58,64|50|84|92|82|58|58|5|35|25|58|65|25|85|4
60,36,False,36,2,36,36|36|36|36|36|98|34|36|36|36|36|36|36|36|36
80,31,True,39,15,39,39|39|39|71|39|25|39|39|39|39|16|39|39|39|39
84,23,False,23,0,23,23|23|23|23|23|23|23|23|23|23|23|23|23|23|23
86,66,False,66,15,61,22|61|61|60|61|61|61|61|10|1|61|61|69|61|22
89,18,False,18,2,18,18|18|18|6|18|18|18|6|18|18|18|18|18|18|18
99,93,False,93,9,93,93|93|1|93|45|93|93|30|93|45|28|45|82|53|1
124,88,False,88,0,88,88|88|88|88|88|88|88|88|88|88|88|88|88|88|88
128,53,False,53,15,92,92|92|70|92|92|92|75|92|92|56|73|83|92|92|92
186,81,False,81,6,81,81|81|81|13|81|88|81|45|81|41|81|81|70|81|23
188,98,False,98,5,98,21|21|98|21|98|98|98|98|98|21|98|98|98|21|98
212,36,True,37,15,37,37|37|37|37|37|37|37|37|37|37|37|37|37|37|37
228,11,False,11,9,11,35|86|11|11|22|13|35|35|11|66|35|11|11|11|35
233,48,True,66,15,66,66|66|66|66|66|66|66|66|66|54|66|66|66|66|66
274,82,False,82,0,82,82|82|82|82|82|82|82|82|82|82|82|82|82|82|82
282,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
290,7,False,7,14,79,81|72|79|26|79|79|79|79|79|79|26|7|5|21|79
295,50,False,50,15,77,42|67|67|69|77|81|41|93|83|77|4|99|77|98|11
320,68,False,68,0,68,68|68|68|68|68|68|68|68|68|68|68|68|68|68|68
322,62,True,30,14,30,30|30|30|30|30|30|30|30|30|30|30|30|62|30|30
328,10,False,10,5,10,78|16|10|32|61|10|10|10|10|10|10|10|1|10|10
335,12,True,73,15,73,73|73|73|73|73|73|30|73|73|30|30|73|73|73|73
337,88,False,88,9,88,88|88|57|31|15|88|25|43|90|88|88|84|33|88|84
363,79,False,79,4,79,79|65|72|73|79|79|79|79|79|72|79|79|79|79|79
373,26,True,71,15,71,71|71|71|71|71|71|71|71|71|71|71|71|71|71|71
387,11,False,11,15,98,98|46|98|46|98|46|46|2|98|98|98|98|98|98|46
401,46,False,46,11,46,98|46|98|35|98|46|35|34|2|2|46|65|46|22|92
405,87,False,87,5,87,34|87|87|16|87|87|87|87|84|87|9|87|87|9|87
416,49,False,49,0,49,49|49|49|49|49|49|49|49|49|49|49|49|49|49|49
434,74,True,71,15,52,49|36|96|52|52|60|47|42|47|38|51|52|52|47|96
486,72,False,72,9,72,97|24|72|31|72|55|72|72|67|30|67|3|72|73|72
502,1,False,1,5,1,1|1|1|1|12|1|1|54|69|96|69|1|1|1|1
503,81,False,81,11,13,13|13|81|13|13|81|13|81|81|13|13|92|13|13|13
554,69,False,69,14,40,40|40|95|40|40|5|40|35|40|40|40|69|40|40|40
560,48,False,48,2,48,77|48|48|48|48|48|48|48|48|48|70|48|48|48|48
598,98,False,98,14,46,46|46|98|11|46|46|46|34|46|46|46|46|46|46|46
619,33,False,33,4,33,33|33|33|33|33|33|97|65|24|33|56|33|33|33|33
627,66,False,66,3,66,66|66|66|66|66|46|66|66|66|53|66|66|82|66|66
669,30,False,30,10,95,73|95|95|30|30|30|95|95|95|30|95|30|95|95|95
