index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
3,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
18,2,False,2,4,2,2|6|2|2|6|6|3|2|2|2
28,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
34,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
46,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
61,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
65,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
78,3,False,3,9,7,7|7|9|7|7|9|3|5|7|7
108,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
109,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
110,9,False,9,8,1,1|1|1|1|1|1|9|1|9|1
134,9,True,1,10,1,1|1|1|1|1|1|1|1|1|1
137,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
146,1,True,9,9,9,9|9|9|9|9|9|9|1|9|9
163,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
169,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
175,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
176,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
178,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
190,8,False,8,5,8,8|8|8|0|1|0|0|8|8|0
200,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
201,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
212,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
230,7,False,7,6,7,9|9|7|0|7|7|0|9|7|0
233,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
243,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
248,3,True,6,10,6,6|2|6|2|6|6|6|2|0|2
259,8,False,8,5,8,8|0|0|0|8|8|8|8|0|2
279,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
290,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
300,2,False,2,4,2,2|7|2|6|2|2|7|7|2|2
304,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
324,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
329,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
350,6,False,6,2,6,6|6|6|6|6|6|6|3|6|3
377,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
385,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
416,3,False,3,1,3,3|3|3|3|3|5|3|3|3|3
420,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
428,1,True,9,10,9,9|9|9|9|9|9|9|9|9|9
436,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
437,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
444,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
465,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
470,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
475,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
477,0,True,4,9,4,2|4|4|4|2|2|0|4|2|4
480,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
488,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
505,4,False,4,1,4,4|4|4|4|4|4|7|4|4|4
521,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
527,0,False,0,7,8,1|8|1|8|0|9|0|0|8|8
530,9,False,9,2,9,1|9|9|9|9|1|9|9|9|9
534,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
541,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
543,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
554,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
556,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
565,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
568,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
579,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
593,1,False,1,1,1,1|1|1|1|9|1|1|1|1|1
594,9,False,9,1,9,9|9|9|9|9|9|9|9|1|9
596,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
597,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
603,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
615,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
626,0,False,0,6,-1,0|2|2|0|2|0|6|2|6|0
632,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
634,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
651,3,True,6,10,6,6|6|6|6|6|6|6|6|6|6
691,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
702,3,False,3,6,-1,6|3|3|5|5|3|5|3|6|5
708,0,False,0,9,7,7|7|7|0|7|3|7|2|7|7
713,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
716,8,False,8,5,-1,8|8|4|8|8|4|4|4|8|4
732,5,False,5,7,3,3|3|5|3|3|5|3|3|5|3
745,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
748,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
749,0,True,9,9,9,9|9|9|9|9|9|0|9|9|9
761,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
783,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
794,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
813,5,False,5,5,-1,3|5|3|3|3|5|5|3|5|5
815,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
835,1,False,1,3,1,9|9|1|1|1|9|1|1|1|1
853,5,False,5,5,5,9|3|7|5|5|9|5|9|5|5
862,6,False,6,10,0,0|0|0|0|0|0|0|8|0|0
870,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
872,0,False,0,4,0,0|0|0|8|0|8|0|8|0|8
874,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
879,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
882,3,False,3,3,3,3|3|3|3|3|5|3|5|3|5
885,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
891,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
907,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
918,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
923,6,False,6,2,6,6|2|6|6|6|6|6|6|0|6
944,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
951,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
965,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
970,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
984,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
988,2,True,5,10,5,3|5|5|5|5|5|5|5|5|5
1003,2,False,2,2,2,7|2|2|2|2|2|5|2|2|2
1004,4,False,4,1,4,4|4|4|4|4|4|4|3|4|4
1006,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1019,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1021,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1024,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1038,1,True,6,10,6,6|6|6|6|6|6|6|6|6|6
1053,6,False,6,3,6,6|6|6|6|2|7|5|6|6|6
1056,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1066,5,False,5,3,5,3|5|3|5|5|5|5|3|5|5
1067,2,False,2,9,6,6|6|6|6|2|6|5|6|5|6
1068,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1087,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1088,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1095,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1106,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1117,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1128,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
1134,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1137,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1138,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1142,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1161,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
1171,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1181,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1190,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1198,5,False,5,6,3,3|3|3|5|5|3|5|3|3|5
1199,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1213,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1216,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1228,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
1239,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1241,1,True,9,10,9,9|9|9|9|9|9|9|9|9|9
1262,9,False,9,1,9,9|9|9|3|9|9|9|9|9|9
1276,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1278,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1281,3,False,3,3,3,3|5|3|3|3|3|5|5|3|3
1284,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
1300,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1304,1,False,1,1,1,6|1|1|1|1|1|1|1|1|1
1305,1,False,1,7,9,9|9|9|9|9|1|9|9|1|1
1308,7,False,7,3,7,7|7|7|3|7|3|7|7|7|5
1309,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1325,8,False,8,2,8,8|8|8|8|8|8|3|8|3|8
1337,8,False,8,1,8,8|8|8|8|8|8|8|8|0|8
1338,0,False,0,3,0,8|0|0|8|0|8|0|0|0|0
1352,7,False,7,10,2,2|2|2|2|2|2|2|5|2|2
1355,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1366,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
1382,0,False,0,3,0,8|8|0|0|0|0|0|0|8|0
1392,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1396,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
1421,1,False,1,1,1,1|1|1|1|1|1|1|0|1|1
1438,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1487,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
1489,7,False,7,1,7,7|7|7|7|7|7|7|7|6|7
1508,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1515,8,False,8,1,8,8|8|8|8|8|8|0|8|8|8
1520,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1528,3,False,3,1,3,6|3|3|3|3|3|3|3|3|3
1533,2,False,2,9,0,2|0|0|0|0|0|0|0|0|0
1540,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1549,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1550,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
1557,4,False,4,5,4,7|4|3|4|4|9|9|4|4|3
1580,5,False,5,10,2,2|4|4|2|4|2|2|2|2|2
1582,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1587,1,True,9,10,9,9|9|9|9|9|9|9|9|9|9
1604,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1606,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1607,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1610,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1616,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1618,5,False,5,10,7,4|7|8|3|7|7|7|4|7|7
1623,4,False,4,9,6,6|6|4|6|6|6|6|6|6|6
1634,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1643,9,True,8,10,8,8|8|8|8|8|8|8|8|8|8
1654,4,False,4,10,7,7|7|7|7|7|7|7|7|7|7
1655,1,True,3,10,5,3|5|5|5|5|5|3|5|3|5
1681,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1691,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1697,9,False,9,1,9,9|9|9|9|9|9|9|1|9|9
1715,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1719,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1730,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
1740,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
1749,8,False,8,1,8,8|8|8|8|8|8|0|8|8|8
1771,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
1778,3,False,3,6,5,3|5|3|5|5|3|5|3|5|5
1796,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1810,0,True,5,10,5,5|5|5|5|5|3|5|5|5|5
1832,4,False,4,1,4,4|4|4|4|4|4|5|4|4|4
1840,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1844,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
1848,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
1864,2,True,3,7,3,3|3|3|3|3|3|2|3|2|2
1886,5,False,5,3,5,3|3|5|5|3|5|5|5|5|5
1893,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1906,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
1923,4,False,4,1,4,4|4|4|4|2|4|4|4|4|4
1927,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
1935,0,False,0,1,0,0|0|0|0|0|0|0|4|0|0
1953,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
1966,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
1972,9,False,9,1,9,9|9|9|9|9|9|9|9|8|9
1985,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
1992,6,True,4,10,-1,4|7|7|4|7|4|7|4|4|7
2004,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
2025,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
2026,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
2035,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
2047,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
2056,0,True,4,10,6,6|6|6|6|4|6|6|6|6|6
2069,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
2083,0,True,3,10,3,3|3|3|3|3|3|3|3|3|3
2086,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
2089,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
2105,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
2111,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
2112,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
2131,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
2137,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
2140,1,True,7,10,7,7|7|7|7|7|7|7|7|7|7
2145,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
2153,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
2160,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
2170,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
2171,0,False,0,6,8,8|8|8|0|0|8|8|8|0|0
2173,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
2177,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
2187,9,False,9,3,9,9|0|9|9|9|0|0|9|9|9
2188,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
2212,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
2217,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
2224,2,False,2,7,-1,1|9|1|2|1|2|9|0|2|9
2246,5,False,5,0,5,5|5|5|5|5|5|5|5|5|5
2262,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
2278,5,True,7,10,7,7|7|7|7|7|7|7|7|7|7
2288,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
2303,9,False,9,1,9,9|9|9|9|9|1|9|9|9|9
2306,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
2335,5,False,5,10,7,7|7|7|7|7|7|7|7|7|7
2338,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
2340,4,True,2,10,2,2|6|2|6|2|2|6|2|2|2
2352,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
2363,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
2392,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
2402,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
2406,3,False,3,6,3,3|8|4|3|3|5|3|8|8|5
2436,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
2451,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
2454,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
2463,8,False,8,1,8,8|0|8|8|8|8|8|8|8|8
2466,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
2470,2,False,2,0,2,2|2|2|2|2|2|2|2|2|2
2479,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
2504,0,False,0,0,0,0|0|0|0|0|0|0|0|0|0
2517,6,False,6,0,6,6|6|6|6|6|6|6|6|6|6
