index,noisy_label,is_noisy,real_label,mistakes,label_pred,preds
5,2,False,2,2,2,2|2|2|4|2|2|2|2|3|2
6,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
37,3,True,2,10,2,2|6|0|2|2|2|0|2|2|2
51,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
55,6,False,6,10,0,0|0|0|0|0|0|0|0|4|0
85,7,False,7,2,7,7|7|7|5|9|7|7|7|7|7
86,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
87,7,False,7,1,7,7|7|7|7|7|3|7|7|7|7
91,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
96,4,False,4,10,0,0|6|0|6|0|0|3|6|2|0
117,4,False,4,5,4,8|8|4|4|8|4|4|6|4|8
118,4,True,6,8,-1,5|6|4|8|6|4|3|3|2|8
126,1,True,7,10,7,7|7|7|7|7|7|7|7|7|7
179,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
186,4,True,0,10,3,3|3|0|3|3|3|3|3|3|0
189,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
208,9,False,9,0,9,9|9|9|9|9|9|9|9|9|9
217,2,True,5,10,5,5|5|5|5|5|7|7|5|5|5
218,7,True,2,10,2,6|8|2|2|2|8|0|6|8|2
221,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
224,2,True,5,10,5,5|7|5|5|9|5|5|7|5|5
229,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
234,0,True,2,10,2,2|8|6|4|2|2|6|4|6|2
242,8,True,4,10,4,4|4|4|4|4|4|4|4|4|4
267,5,False,5,1,5,5|5|5|5|5|5|5|7|5|5
272,5,True,0,10,0,0|0|0|0|0|0|0|0|0|0
283,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
311,4,False,4,1,4,4|4|4|4|2|4|4|4|4|4
312,8,True,4,6,8,8|8|4|2|4|8|2|2|8|4
324,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
330,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
341,5,True,7,9,7,7|7|7|7|7|7|7|7|5|7
352,2,True,1,10,1,1|1|1|1|1|1|1|1|1|1
362,4,False,4,0,4,4|4|4|4|4|4|4|4|4|4
368,6,False,6,2,6,6|6|4|6|6|4|6|6|6|6
375,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
392,0,False,0,7,-1,4|3|0|3|3|0|0|4|1|8
400,0,True,2,10,2,2|2|2|2|2|6|2|2|2|2
408,8,False,8,1,8,8|8|8|8|8|8|8|8|6|8
412,4,False,4,7,6,4|6|2|2|6|4|6|6|4|6
419,2,True,1,10,1,1|1|1|1|1|1|1|1|1|1
437,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
440,2,False,2,4,2,2|2|2|2|6|2|6|6|4|2
454,8,False,8,0,8,8|8|8|8|8|8|8|8|8|8
464,8,True,4,10,4,6|6|4|4|4|4|4|6|4|4
482,7,False,7,0,7,7|7|7|7|7|7|7|7|7|7
496,3,False,3,0,3,3|3|3|3|3|3|3|3|3|3
498,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
506,6,False,6,6,0,6|0|0|6|0|6|0|6|0|0
508,1,True,3,10,3,3|3|3|3|3|3|3|3|3|3
514,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
525,1,False,1,0,1,1|1|1|1|1|1|1|1|1|1
