td,tr,val_fixed,val_cleaned,test_accuracy,det_f1,residual_pct,clean_yield_pct,retained,relabeled,discarded
6,5,0.6853,0.9434,0.8549,0.7618,11.5546,84.175,57103,16787,2897
6,6,0.6927,0.9598,0.8582,0.7618,9.2111,83.5667,55227,14911,4773
6,7,0.6962,0.9714,0.8713,0.7618,6.6919,82.7083,53184,12868,6816
6,8,0.692,0.975,0.868,0.7618,4.78,81.6733,51464,11148,8536
6,9,0.6983,0.9752,0.8697,0.7618,3.1347,80.24,49702,9386,10298
6,10,0.7053,0.9815,0.879,0.7618,1.7374,77.4833,47312,6996,12688
7,5,0.6925,0.937,0.8632,0.7959,10.3454,86.69,58016,16022,1984
7,6,0.6897,0.9514,0.8632,0.7959,8.5228,86.1167,56484,14490,3516
7,7,0.696,0.9601,0.8737,0.7959,6.7059,85.305,54862,12868,5138
7,8,0.6998,0.9641,0.8736,0.7959,4.8549,84.27,53142,11148,6858
7,9,0.698,0.9613,0.8746,0.7959,3.2659,82.8367,51380,9386,8620
7,10,0.6952,0.971,0.8739,0.7959,1.9228,80.08,48990,6996,11010
8,5,0.6982,0.9356,0.8745,0.8319,8.8509,89.1317,58672,14947,1328
8,6,0.6948,0.935,0.8723,0.8319,7.4636,88.5867,57439,13714,2561
8,7,0.6907,0.9359,0.8634,0.8319,6.2019,87.82,56176,12451,3824
8,8,0.7068,0.9518,0.8848,0.8319,5.0134,86.87,54873,11148,5127
8,9,0.6915,0.9442,0.8612,0.8319,3.4814,85.4367,53111,9386,6889
8,10,0.7017,0.951,0.8769,0.8319,2.1944,82.68,50721,6996,9279
9,5,0.6987,0.9086,0.8715,0.8572,7.7108,91.0033,59164,13660,836
9,6,0.6928,0.9204,0.8647,0.8572,6.695,90.5183,58208,12704,1792
9,7,0.701,0.9229,0.8766,0.8572,5.7687,89.8417,57205,11701,2795
9,8,0.704,0.9365,0.8839,0.8572,4.9779,88.985,56188,10684,3812
9,9,0.7067,0.9263,0.8832,0.8572,4.0936,87.7383,54890,9386,5110
9,10,0.7095,0.9308,0.8825,0.8572,2.8781,84.9817,52500,6996,7500
10,5,0.6968,0.8702,0.8694,0.8515,7.4832,91.8383,59560,11498,440
10,6,0.7147,0.8987,0.8912,0.8515,6.8594,91.4517,58912,10850,1088
10,7,0.7005,0.8884,0.8726,0.8515,6.2735,90.935,58213,10151,1787
10,8,0.7113,0.9032,0.8924,0.8515,5.7941,90.2367,57472,9410,2528
10,9,0.7142,0.9046,0.8939,0.8515,5.3586,89.3083,56619,8557,3381
10,10,0.7062,0.889,0.8788,0.8515,4.8621,87.3017,55058,6996,4942
