td,tr,det_precision,det_recall,det_f1,det_accuracy,residual_pct,clean_yield_pct,retained,relabeled,discarded
6,5,0.6227,0.981,0.7618,0.8723,11.5546,84.175,57103,16787,2897
6,6,0.6227,0.981,0.7618,0.8723,9.2111,83.5667,55227,14911,4773
6,7,0.6227,0.981,0.7618,0.8723,6.6919,82.7083,53184,12868,6816
6,8,0.6227,0.981,0.7618,0.8723,4.78,81.6733,51464,11148,8536
6,9,0.6227,0.981,0.7618,0.8723,3.1347,80.24,49702,9386,10298
6,10,0.6227,0.981,0.7618,0.8723,1.7374,77.4833,47312,6996,12688
7,5,0.6741,0.9714,0.7959,0.8962,10.3454,86.69,58016,16022,1984
7,6,0.6741,0.9714,0.7959,0.8962,8.5228,86.1167,56484,14490,3516
7,7,0.6741,0.9714,0.7959,0.8962,6.7059,85.305,54862,12868,5138
7,8,0.6741,0.9714,0.7959,0.8962,4.8549,84.27,53142,11148,6858
7,9,0.6741,0.9714,0.7959,0.8962,3.2659,82.8367,51380,9386,8620
7,10,0.6741,0.9714,0.7959,0.8962,1.9228,80.08,48990,6996,11010
8,5,0.7353,0.9577,0.8319,0.9194,8.8509,89.1317,58672,14947,1328
8,6,0.7353,0.9577,0.8319,0.9194,7.4636,88.5867,57439,13714,2561
8,7,0.7353,0.9577,0.8319,0.9194,6.2019,87.82,56176,12451,3824
8,8,0.7353,0.9577,0.8319,0.9194,5.0134,86.87,54873,11148,5127
8,9,0.7353,0.9577,0.8319,0.9194,3.4814,85.4367,53111,9386,6889
8,10,0.7353,0.9577,0.8319,0.9194,2.1944,82.68,50721,6996,9279
9,5,0.7981,0.9258,0.8572,0.9358,7.7108,91.0033,59164,13660,836
9,6,0.7981,0.9258,0.8572,0.9358,6.695,90.5183,58208,12704,1792
9,7,0.7981,0.9258,0.8572,0.9358,5.7687,89.8417,57205,11701,2795
9,8,0.7981,0.9258,0.8572,0.9358,4.9779,88.985,56188,10684,3812
9,9,0.7981,0.9258,0.8572,0.9358,4.0936,87.7383,54890,9386,5110
9,10,0.7981,0.9258,0.8572,0.9358,2.8781,84.9817,52500,6996,7500
10,5,0.8714,0.8325,0.8515,0.9395,7.4832,91.8383,59560,11498,440
10,6,0.8714,0.8325,0.8515,0.9395,6.8594,91.4517,58912,10850,1088
10,7,0.8714,0.8325,0.8515,0.9395,6.2735,90.935,58213,10151,1787
10,8,0.8714,0.8325,0.8515,0.9395,5.7941,90.2367,57472,9410,2528
10,9,0.8714,0.8325,0.8515,0.9395,5.3586,89.3083,56619,8557,3381
10,10,0.8714,0.8325,0.8515,0.9395,4.8621,87.3017,55058,6996,4942
